TITLE ORIGINAL,AUTHORS,PUBLICATION YEAR
"Close Relationships and Quality of Life.","Myers, D.G.","1999"
"Causes and Correlates of Happiness.","Argyle, M.","1999"
"The Mood System.","Morris, W.N.","1999"
"Personality and Subjective Well-Being.","Diener, E.; Lucas, R.E.","1999"
"Life Task Participation and Well-Being: The Importance of Taking Part in Daily Life.","Cantor, N.; Sanderson, C.A.","1999"
"National Differences in Subjective Well-Being.","Diener, E.; Suh, E.M.","1999"
"Personal Control and Well-Being.","Peterson, C.","1999"
"Die Erlebnisgesellschaft. Kultursoziologie der Gegenwart.","Schulze, G.","1992"
"Allensbacher Jahrbuch der Demoskopie, 1993-1997, Band 10.","Noelle-Neumann, E.; Köcher, R.","1997"
"The Rising Well-Being of the Young.","Blanchflower, D.G.; Oswald, A.J.","1996"
"Meer Zekerheid is Niet Meer Welzijn.","Ouweneel, P.","2000"
"On Life Satisfaction and Activity Preferences in Subjects with Multiple Sclerosis: A Comparative Study.","Bränholm, I.B.; Erhardsson, M.","1994"
"Relationship between Occupation and Life Satisfaction in People with Multiple Sclerosis.","Lundmark, P.; Bränholm, I.B.","1996"
"Berner Fragebogen zum Wohlbefinden Jugendlicher (BFW).","Grob, A.; Flammer, A.; Kaiser, F.G.; Lüthi, R.; Mackinnon, A.; Wearing, A.J.","1991"
"Global Self-Esteem and Specific Self-Esteem: Different Concepts, Different Outcomes.","Rosenberg, M.; Rosenberg, F.; Schoenbach, C.; Schooler, C.","1995"
"Flying Solo at Midlife: Gender, Marital Status, and Psychological Well-Being.","Marks, N.F.","1996"
"Too Much of a Good Thing? Intergenerational Support and the Psychological Well-Being of Older Parents.","Silverstein, M.; Chen, X.; Heller, K.","1996"
"Healthy and Unhealthy Friendship and Hostility Between Ex-Spouses.","Masheter, C.","1997"
"Childhood Bereavement and Adult Well-Being.","Copeland, A.R.; Forsyth, C.J.","1997"
"Luxury Fever. Why Money Fails to Satisfy in an Era of Excess.","Frank, R.H.","1999"
"Feelings of Pleasure and Well-Being as Predictors of Health Status 21 Years Later.","Blakeslee, T.R.; Grossarth-Maticek, R.","1999"
"Health Status versus Quality of Life in Older Patients: Does the Distinction Matter?","Covinsky, K.E.; Connors, A.F.; Landefeld, S.; Wu, A.W.","1999"
"Wohlbefinden und Kontrolle bei jugendlichen Delinquenten und Nicht-Delinquenten.","Grob, A.; Flammer, A.; Kaiser, F.G.; Lüthi, R.","1989"
"Performance of a New HIV/AIDS-Targeted Quality of Life (HAT-QoL) Instrument in Asymptomatic Seropositive Individuals.","Holmes, W.C.; Shea, J.A.","1997"
"Two Approaches to Measuring Quality of Life in the HIV/AIDS Population: HAT-Qol and MOS-HIV.","Holmes, W.C.; Shea, J.A.","1999"
"Subjective Well-Being and Significant Life-Events across the Life-Span.","Grob, A.","1995"
"Pursuing Happiness. American Consumers in the Twentieth Century.","Lebergott, S.","1993"
"Intrinsic and Extrinsic Goals: Their Structure and Relationship to Well-Being in German and U.S. College Students.","Schmuck, P.; Kasser, T.; Ryan, R.M.","2000"
"Ledige Frauen der Kriegsgeneration: Eine explorative Studie zu ihrer  Lebenszielen und ihrer  Lebenszufriedenheit.","Wilken, B.; Kemmler, L.","1997"
"Relation Between Neuroticism and Dimensions of Relationship Commitment: Evidence from Gay, Lesbian, and Heterosexual Couples.","Kurdek, L.A.","1997"
"On Life Satisfaction and Activity Preferences in Long-Term Survivors after Stroke.","Mansson, M.; Bränholm, I.B.; Fredriksson, B.","1995"
"Subjective Quality of Life.","Wan, P.S.","1992"
"Familie, Partnerschaft und Lebensqualität.","Schulz, W.; Kienberger, M.","1999"
"A New HIV/AIDS-Targeted Quality of Life (HAT-QoL) Instrument . Development, Reliability, and Validity.","Holmes, W.C.; Shea, J.A.","1998"
"Welzijn van het Kind in het Gezin.LISREL-Analyse van Objectieve en Subjectieve Factoren uit de Directe Gezinsomgeving.","VandenBergh, B.; VanRanst, N.","1997"
"Sekseverschillen in de Invloed van het Huwelijk en van Betaald Werk op Subjectief Welbevinden.","van Oudenhoven-vander Zee, K.I.; Bakker, A.B.; Sanderman, R.","1995"
"Roles and Women's Well-Being: Some Preliminary Findings from Malaysia.","Noor, N.M.","1999"
"Adaptive Mental Mechanisms. Their Role in a Positive Psychology.","Vaillant, G.E.","2000"
"Wer zählten den ""Reichen"" in Deutschland?","Weick, S.","2000"
"Maximizing Happiness?","Frey, B.S.; Stutzer, A.","2000"
"On Life Satisfaction in Subjects with Neurological Disorders.","Bränholm, I.B.; Fugl-Meyer, A.R.; Lundmark, P.; Mansson, M.","1996"
"Factors Affecting Opinions on Life Support Issues in the Elderly.","Bedell-Greer, M.","1995"
"Sex and Quality of Life in Denmark.","Ventegodt, S.","1998"
"Well-Being as a Psychological Indicator of Health in Old Age: A Research Agenda.","Dzuka, J.; Dalbert, C.","2000"
"Familienstruktur, kindliches Wohlbefinden und Persönlichkeitsentwicklung: Eine empirische Analyse am Beispiel zehnjäriger Kinder.","Bacher, J.; Beham, M.; Wilk, L.","1996"
"Parental Bonding and Mental Health in Adolescence.","Canetti, L.; Bachar, E.; Galili-Weisstub, E.; Kaplan-DeNour, A.; Shalev, A.Y.","1997"
"The Top-Down/Bottom-Up Controversy from a Constructionist Approach: A Method for Measuring Top-Down Effects Applied to Sample of Older People.","Leonardi, F.; Gagliardi, C.; Marcellini, F.; Spazzafumo, L.","1999"
"Non-Farm Rural Ontario Residents' Perceived Quality of Life.","Richmond, L.; Filson, G.; Paine, C.; Pfeiffer, W.C.; Taylor, J.R.","2000"
"Quality of Life in Alcohol-Dependent Subjects. A Review.","Foster, J.H.; Marshall, E.J.; Peters, T.J.; Powell, J.E.","1999"
"COOP Charts in French: Translation and Preliminary Data on Instrumental Properties.","Perneger, T.V.; Ecosse, E.; Etter, J.F.; Guillain, H.; Leplège, A.","1998"
"Self-Reported Quality of Life for Patients with Progressive Neurological Diseases.","Nordeson, A.; Engström, B.; Norberg, A.","1998"
"Health-Related Quality of Life Varies with Personality Types: A Comparison among Cancer Patients and Healthy Individuals in a Japanese Population.","Yamaoka, K; Haruyama, K.; Ogoshi, K.; Shigehisa, T.","1998"
"Adaptation and Evaluation of the Liverpool Seizure Severity Scale and Liverpool Quality of Life Battery for American Epilepsy Patients.","Rapp, S.; Berzon, R.; Gibson, P.; Hoffman, R.; Shumaker, S.A.; Smith, T.","1998"
"Psychometric Assessment of the Life Satisfaction Questionnaire (LSQ) and a Comparison of a Randomised Sample of Swedish Women and Those Suffering from Breast Cancer.","Carlsson, M.; Hamrin, E.; Lindqvist, R.","1999"
"Reliability and Validity of the Functional Assessment of Cancer-Therapy-Colorectal (FACT - C) Quality of Life Instrument.","Ward, W.L.; Cella, D.; Hahn, E.A.; Hernandez, L.; Mo, F.; Tulsky, D.S.","1999"
"What Makes You Happy?: A Comparison of Self-Reported Criteria of Happiness between Two Cultures.","Lee, D.Y.; Park, S.H.; Patsula, P.; Uhlemann, M.R.","1999"
"The Evolution of Happiness.","Buss, D.M.","2000"
"El Bienestar Subjetivo a Través de Tres Generaciones.","Anguas-Plata, A.M.; Reyes Lagunes, I.","2000"
"Structural Conformation of the Yucatecans Subjective Well-Being.","Anguas-Plata, A.M.; Reyes Lagunes, I.","1999"
"Identificacion y Validacion del Significado del Bienestar subjetivo en Mexico: Fundamentos  Para el Desarrollo de un Instrumento de Medicion. (Identification and Validation of Subjective Well-Being in Mexico: Foundations for a Measure..","Anguas-Plata, A.M.","2001"
"Individual Development in a Bio-Cultural Perspective.","Massimini, F.; Delle-Fave, A.","2000"
"Health, Work, Economic Status, and Happiness.","Morgan, J.N.","1992"
"Subjective Approach to Quality of Life.","Naess, S.","1999"
"Diabetes Mellitus, Age and Late Complications. Effects on Psychosocial Well-Being.","Naess, S.; Eriksen, J.; Midthjell, K.; Tambs, K.","1998"
"How Goal Disturbance, Coping and Chest Pain Relate to Quality of Life: A Study among Patients PTCA.","Echteld, M.A.; VanderKamp, L.J.; VanElderen, T.M.","1999"
"Do Colder and Hotter Climates make Richer Societies More, but Poorer Societies Less, Happy and Altruistic?","VandeVliert, E.; Parker, P.M.; Wong, Y.","2004"
"Stability of Three-Wave Simplex Estimates of Reliability.","Coenders, G.; Andreenkova, A.; Batista-Foguet, J.M.; Saris, W.E.","1999"
"Sustainable Household Metabolism and Quality of Life.","Gatersleben, B.C.","2000"
"Normative Life-Satisfaction: Measurement  Issues and a Homeo-Static Model.","Cummins, R.A.","2003"
"Ostdeutsche Befindlichkeiten ein Jahrzehnt nach der Wende - Ambivalente Spuren des Umbruchs.","Lang, C.","1999"
"Democratization, Economic Crisis and the Changing Quality of Life in Korea.","Shin, D.C.","2000"
"CEO Satisfaction and Form Performance in Family Firms: Divergence between Theory and Practice.","Daily, C.M.; Near, J.P.","2000"
"Liskvalitet hos 4500 31-33-arige.","Ventegodt, S.","1996"
"Livskvalitet og Omstaedigheder Tidligt I Livet.","Ventegodt, S.","1997"
"Measuring the Quality of Life. From Theory to Practice.","Ventegodt, S.","1995"
"Subjective Well-Being and Socially Risky Behaviors of Youth.","Casas, F.; Coenders, G.; Pascual, S.","2000"
"Life Satisfaction.","Sousa, L.A.; Lyubomirsky, S.","2000"
"Liskvalitet I Danmark.","Ventegodt, S.","1995"
"Life-Satisfaction and Preference Drift.","Groot, W.; Maassen-VandenBrink, H.","2000"
"Geborgte Erfahrungen. Der Einfluss enttäuschter Lebensentwürfe auf die Nutzung von Fershenunterhaltung.","Kepplinger, H.M.; Weissbecker, H.","1997"
"Globalization, Urban Progress, Urban Problems, Rural Disadvantages. Evidence from Mozambique.","Knauder, S.","2000"
"The Pursuit of Happiness: Hopeless?","VandenHeuvel, M.","2000"
"Are Iranians Happy? A Comparative Study between  Iran and the United States.","Kousha, M.; Mohseni, N.","2000"
"A Facet Theory Approach to Examining Overall and Life Facet Satisfaction Relationships.","Cohen, E.H.","2000"
"Anomie in the Asia Pacific Region: The Australian Study.","Western, J.; Lanyon, A.","1999"
"A Five Day Quality-of- Live and Health Care.","Ventegodt, S.","1999"
"Longterm Mental Health Outcome of Returning Migrant Children and Adolescent.","Vuorenkoski, L.; Kumpulainen, E.; Kuure, O.; Moilanen, I.; Myhrman, A.; Pennenkilampi, V.","1998"
"How We Choose to be Happy.","Foster, R.; Hicks, G.","1999"
"Unemployment as a Social Norm: Psychological Evidence from Panel Data.","Clark, A.E.","2000"
"Happiness an Coping Styles.","Rim, Y.","1993"
"Exploring the Traits of Happy People.","Doyle, K.O.; Youn, S.","2000"
"Wisdom: Source of Narrative Coherence and Eudaimonia.","Brugman, G.","2000"
"Eenzaamheid.","Zonnebloem,","2000"
"A structural model of well-being: With an application to German data.","VanPraag, B.M.; Ferrer-i-Carbonell, A.; Frijters, P.","2000"
"Public Services and the Quality of Life.","Michalos, A.C.; Zumbo, B.D.","1999"
"Patterns of Adolescent Identify Development: Review of Literature and Longitudinal Analysis.","Meeus, W.; Helsen, M.; Iedema, J.; Vollebergh, W.A.","1999"
"Relative Pay offs and Happiness: An Experimental Study.","Charness, G.; Grosskopf, B.","2001"
"Modernity and Subjective Well-Being in Zimbabwean College Students.","Mpofu, E.","1999"
"The Reactive and Prospective Functions of Mood: Its Role in Linking Daily Experiences and Cognitive Well-Being.","Robinson, M.D.","2000"
"Helping Characteristics of Self-Help and Support Groups. Their Contribution to Participants' Subjective Well-Being.","Schiff, M.; Bargal, D.","2000"
"Do Individuals Try to Maximize General Satisfaction?","Frijters, P.","2000"
"A Prospective Study on Quality of Live and Traumatic Events in Early Life - A 30 Year Follow-Up.","Ventegodt, S.","1999"
"Genes, Culture, Democracy and Happiness.","Inglehart, R.; Klingemann, H.D","2000"
"Money and Happiness: Income and Subjective Well-Being across Nations.","Diener, E.; Oishi, S.","2000"
"Age and Sex Differences in Subjective Well-Being across Cultures.","Lucas, R.E.; Gohm, C.L.","2000"
"Perceived Control and Subjective Well-Being Across Nations and Across the Life Span.","Grob, A.","2000"
"National Differences in Micro and Macro Worry: Social, Economic and Cultural Explanations.","Schwartz, S.H.; Melech, G.","2000"
"Freedom and Happiness: A Comparative Study in Forty-four Nations in the Early 1990s.","Veenhoven, R.","2000"
"Jeugd, Feiten en Cijfers, 1999.","Jol, C.","1999"
"The Norwegian  Polio Study 1994 part II: Early Experience of Polio and later Social Well-Being.","Oyhaugen, S.","1999"
"Measuring Subjective Well-Being to Compare Quality-of-Life of Cultures.","Diener, E.; Suh, E.M.","2000"
"Cultural Syndromes and Subjective Well-Being.","Triandis, H.C.","2000"
"Goals as Cornerstones of Subjective Well-Being: Linking Individuals and Cultures.","Oishi, S.","2000"
"Self, the Hyphen between Culture and Subjective Well-Being.","Suh, E.M.","2000"
"Culture and Subjective Well-Being","Diener, E.; Suh, E.M.","2000"
"Individual Psychological Culture and Subjective Well-Being.","Ratzlaff, C.; Kouznetsova, N; Matsumoto, D.; Raroque, J.; Ray, R.","2000"
"The Pursuit of Happiness and Realisation of Sympathy: Cultural Patterns of Self, Social Relations and Well-Being.","Kitayama, S.; Markus, H.R.","2000"
"The Norwegian Polio Study 1994 Part II: Early Experiences of Polio and Later Social Well-Being.","Schanke, A.K.; Lobben, B.; Oyhaugen, S.","1999"
"Beyond Bentham, Measuring Procedural Utility.","Frey, B.S.; Stutzer, A.","2000"
"Value Priorities and Subjective Well-Being: Direct Relations and Congruity Effects.","Sagiv, L.; Schwartz, S.H.","2000"
"Self-Reported Life Satisfaction and 20-Year Mortality in Healthy Finnish Adult.","Koivumaa-Honkanen, H.T.; Honkanen, R.J.; Kaprio, J.; Koskenvuo, M.; Viinamäki, K.","2000"
"Sense of Coherence and Social Support Resources for Subjective Well-Being and Health of the Aged in Finland.","Elovainio, M.; Kivimäki, M.","2000"
"Sympathy and the Value of Health.","Groot, W.; Maassen-VandenBrink, H.","2003"
"Late - Blooming Societies Can Be Stimulated by Information Technology.","Meier, R.L.","2000"
"Das Paradox des subjektiven Wohlbefindens.","Staudinger, U.M.","2000"
"Happiness.","Heylighen, F.","1999"
"Predictors of Work-Family Conflict and Satisfaction with Family, Job, Career and Life.","Beutell, N.J.; Wittig-Berman, U.","1999"
"Multidimensional Life Satisfaction Reports of Middle School Students with Serious Emotional Disturbance.","Griffin, M.D.; Huebner, E.S.","2000"
"De Psychosociale Ontwikkeling van Adolescenten.","Meeus, W.","1993"
"An Approach to the Measurement of the Levels of Welfare in Tokyo.","Tominaga, K.","1972"
"Personal Goals and Subjective Well-Being: A Longitudinal Study.","Brunstein, J.C.","1993"
"Felicidad y Conducta Prosocial. Un Ustudio a Partir de las Encuestas del CIRES.","Javaloy-Mazon, F.; Cornejo, J.M.; Rodriguez-Carballiera, A.","1998"
"Stepfamily Lifestyles and Adolescent Well-Being in the Netherlands.","Spruijt, E.","1997"
"Martial Status and Happiness: A 17- Nation Study.","Stack, S.; Eshleman, J.R.","1998"
"Arbeiden Welbevinden. Oudere Werklozen, Arbeidsongeschikten, Werkenden en Vutters Vergeleken.","Henkens, K.; Bronsema, H.","2000"
"Geld Maakt Toch Gelukkig?!","VanGalen, J.","2001"
"Modelle zur Aufdeckung Unbeobachteter Heterogenität bei der Erklärung von Lebenszufriedenheit. ","Stein, P.","2000"
"Daily Goals, Life Goals, and Worst Fears: Means, Ends and Subjective Well-Being.","King, L.A.; Richards, J.H.; Stemmerich, E.","1998"
"Eurobarometer Report. Nr. 49.","Eurobarometer,","1998"
"Marital Well-Being and General Happiness of Newlywed Couples: Relationships across Time.","Ruvolo, A.P.","1998"
"Self-Reported Life Satisfaction and Treatment Factors in Patients with Schizophrenia, Major Depression and Anxiety Disorder.","Koivumaa-Honkanen, H.T.; Honkanen, R.J.","1999"
"Correlates of Life Satisfaction among Psychiatric Patients.","Koivumaa-Honkanen, H.T.; Jääskeläinen, J.; Lehtonen, J.; Niskanen, L.; Viinamäki, K.","1996"
"Life Satisfaction as a Health Predictor.","Koivumaa-Honkanen, H.T.","1998"
"Cancer Patients as 'Experts' in Defining Quality of Life Domains. A Multicentre Survey by the Italian Group for the Evaluation of Outcomes in Oncology (IGEO).","Constantini, M.","2000"
"Culture, Gender, Self-Efficacy, and Life Satisfaction: A Comparison between Americans and Chinese People with Spinal Cord Injuries.","Hampton, N.Z.; Marshall, A.","2000"
"Similarity of the Relation between Marital Status and Subjective Well-Being across Cultures.","Diener, E.; Gohm, C.L.; Oishi, S.; Suh, E.M.","2000"
"A First Study of the Multidimensional Students Life Satisfaction Scale with Adolescents.","Gilman, R.; Huebner, E.S.; Laughlin, J.E.","2000"
"An Italian - Australian Comparison of Quality of Life among People with Intellectual Disability Living in the Community.","Verri, A.; Cummins, R.A.; Gerosa, E.; Monteath, S.; Nappi, G.; Petito, F.; Vallero, E.","1999"
"Subjectifying Quality of Life as a Medical Rehabilitation Outcome.","Fuhrer, M.J.","2000"
"The Hedonist Imperative.","Pearce, D.","2000"
"The Measurement of Happiness.","Helm, D.T.","2000"
"Determinants of Psychological Well-Being in Irish Immigrants.","Christopher, K.A.","2000"
"Will Globalization Make You Happy?","Wright, R.","2000"
"Predictors of Subjective Physical Health and Global Well-Being: Similarities and Differences Between the United States and Germany.","Staudinger, U.M.; Baltes, P.B.; Fleeson, W.","1999"
"Gelukkig in Rotterdam.","Rijpma, S.G.; DeGraaf, P.A.","2000"
"Preferences over Inflation and Unemployment: Evidence from Surveys of Happiness.","DiTella, R.; MacCulloch, R.J.; Oswald, A.J.","2001"
"Objetivos de Vida y Satisfaccion Autopercibida en Estudiants Universitarios.","Castro-Solano, A.; Del Pilar Sanchez Lopez, M.","2000"
"The Shifting Basis of Life Satisfaction Judgments across Cultures: Emotions versus Norms.","Suh, E.M.; Diener, E.; Oishi, S.; Triandis, H.C.","1998"
"Choosing the Joneses. On the Endogeneity of  Reference Groups.","Falk, A.; Knell, M.","2000"
"Models of Health-Related Quality of Life in a Population of Community-Dwelling Dutch Elderly.","Sullivan, M.D.; Kempen, G.I.; Ormel, J.; VanSonderen, E.","2000"
"Self Appraisal, Life Satisfaction and Retrospective Life Choices Across One and Three Decades.","Holahan, C.K.; Holahan, C.J.; Wonacott, N.L.","1999"
"La Qualité de Vie de l'Enfant aprèsTransplantation d'Organe.","Manificat, S.; Cochat, P.; Dazord, A.; Debray, D.; Morin, D.; Plainguet, F.","2000"
"Frustrated Achievers: Winners, Losers, and Subjective Well-Being in New Market Economies.","Graham, C.; Pettinato, S.","2001"
"Age and Gender Difference in Self-Concept Domains of Persons with Cardiac Disease.","Ng, J.Y.; Cheng, L.C.; Chin, S.W.; Tam, S.F.","2000"
"Qualité de Vie des Enfants: Interêt de Son Evaluation.","Dazord, A.; Escoffier, C.; Kadour, J.L.; Manificat, S.","2000"
"Evaluation of Life Quality for Children Infected by HIV: Validation of a Method and Preliminary Results.","Nicolas, J.; Dazord, A.; Manificat, S.","1996"
"Ethnicity, Modern Prejudice and the Quality of Life.","Michalos, A.C.; Zumbo, B.D.","2001"
"The Relationship between Income and Satisfaction: The Effect of Measurement Error and Suppressor Variables.","Saris, W.E.","2001"
"Satisfaction with Life among International Students: An Exploratory Study.","Sam, D.L.","2001"
"Economic Theory and Subjective Well-Being: Mexico.","Fuentes Kraffczyk, N.C.; Rojas, M.","2001"
"Race-Related Correlates of Young Adults Subjective Well-Being.","Brown, T.N.; Wallace, J.M.; Williams, D.R.","2001"
"Identifying Welfare Effects from Subjective Questions.","Ravallion, M.; Lokshin, M.M.","2000"
"Erfolge und Krisen: subjektives Wohlbevinden und Anomie in Deutschland.","Bulmahn, T.","2000"
"The Death of Honor and the Happier for it?","Ahuvia, A.C.","2000"
"Euromodule Codebook. Preliminary Version.","Zapf, W.","2001"
"Objektive Lebensbedingungen und subjektives Wohlbefinden im vereinten Deutschland.","Habich, R.; Noll, H.H.","2000"
"The Effect of Children on Adults Psychological Well-Being 1957 - 1976.","McLanahan, S.S.; Adams, J.","1989"
"Einkommen und Lebensqualität im vereinigten Deutschland.","Krause, P.; Habich, R.","2000"
"Assessing Daily Quality of Life with the Experience Sampling Method.","Barge-Schaapveld, D.Q.; Delespaul, P.A.; DeVries, M.W.; Nicolson, N.A.","1997"
"Life Satisfaction from Late Adolescence to Mid-Life.","Meulemann, H.","2000"
"Does Childhood Personality Predict Longevity?","Friedman, H.S.; Criqui, M.H.; Schwartz, J.E.; Tomlinson-Kersey, C.; Tucker, J.S.; Wingard, D.L.","1993"
"Allocentrisme en Idiocentrisme. Het Verschil in Waarden-Oriëntatie binnen de Nederlandse Samenleving.","Godefroy, D.; Gouwenberg, S.; VanHouten, M.; Vanling, A.","2000"
"Uber die materielle zur innere Einheit? Wohlstandslagen und Subjectives Wohlbefinden in Ost- und West Deutschland.","Delhey, J.; Böhnke, P.","1999"
"Modernity and Happiness. The Case of Germany.","Bulmahn, T.","2000"
"Factor Structure and Reliability of a Czech Translation of the Satisfaction with Life Scale among Czech University Students.","Lewis, C.A.; Dorahy, M.J.; Shevlin, M.E.; Smekal, V.","1999"
"Explaining Quality of Life. The Controverse between Objective and Subjective Variables.","Schulz, W.","2000"
"Happiness in Evolutionary Perspective.","Barkow, J.H.","1997"
"Exploring Dimensions of Housing Satisfaction and Life Satisfaction in Elderly Urban Residents.","Lalu, R.E.","2000"
"The Evaluation of the Center for Epidemiologic Studies Repression (CES-D) Scale: Depressed and Positive Affect in Cancer Patients and Healing Reference Subjects.","Schroevers, M.J.; Ranchor, A.V.; Sanderman, R.; VanSonderen, E.","2000"
"Zijn Internetters Eenzaam?","Schmeets, H.","2001"
"Towards an Integration of Subjective Well-Being and Psychopathology.","Greenspoon, P.J.; Saklofske, D.H.","2001"
"Aging and Life Satisfaction.","Chen, C.","2001"
"Report on the Construct Validity of the Temporal Satisfaction with Life Scale.","McIntosh, C.N.","2001"
"Confirming and Expanding the Usefulness of the Extended Satisfaction with Life Scale (ESWLS).","Gregg, P.M.; Salisbury, P.S.","2001"
"Development and Psychometric Evaluation of the TAPQUOL: A Health-Related Quality of Life Instrument for 1-5 Year- Old Children.","Fekkes, M.; Brugman, E.; Theunissen, N.C.; Veen, S.","2000"
"Physician- and Self-Rating of Health, Neuroticism and Subjective Well-Being among Men and Woman.","Okun, M.A.; George, L.K.","1984"
"Beeld van Geluk in Wetenschap en Belletrie.","Veenhoven, R.","2000"
"Quality of Life in Patients with Bladder Carcinoma after Cystectomy: First Results of a Prospective Study.","Hardt, J.; Egle, U.T.; Filipas, D.; Hohenfeller, R.","2000"
"Trends in Life Expectancy in Well-Being.","Perenboom, R.J.","2001"
"Assessment of the COOP Charts With and Without Pictures in a Swiss Population.","Perneger, T.V.; Chamot, E.; Etter, J.F.; Richard, J.L.","2000"
"Validation of a French Health-Related Quality of Life Instrument for Adolescents: The VSP-A.","Simeoni, M.C.; Antoniotti, S.; Auquir, P.; SanMarco, J.L.; Sapin, C.","2000"
"""If I Had It to Do Over Again"" . Midlife Review, Midcourse Corrections and Women's Well-Being in Midlife.","Stewart, A.J.; VandeWater, E.A.","1999"
"Does Money buy Happiness? A Longitudinal Study Using Data on Windfalls.","Gardner, J.; Oswald, A.J.","2001"
"The Quality of Life Profile - Adolescent Version: Background, Description, and Initial Validation.","Raphael, D.; Brown, I.; Donata, E.; Hill-Bailey, P.; Ruukholm, E.","1996"
"The Pursuit of Personal Goals. A Motivational Approach to Well-Being and Life Adjustment.","Brunstein, J.C.; Maier, G.W.; Schultheiss, O.C.","1999"
"Jong en Gelukkig.","Schmeets, H.","2001"
"Well-Being in Cultures-of-Choice: A Cross-Cultural Perspective.","Ahuvia, A.C.","2001"
"Family Life and the Pursuit of Happiness.","Aldous, J.; Ganey, R.F.","1999"
"Weight Loss and Quality of Life among Obese People.","Sarlio-Lähteenkorva, S.","2001"
"Health and Other Aspects of the Quality of Life of Older People.","Michalos, A.C.; Hemingway, D.; Hubley, A.M.; Zumbo, B.D.","2001"
"Statements about Happiness.","Ruisel, I.","2001"
"Verschillen in Depressie tussen Gehuwden en Gescheiden Vrouwen in Nederland: Op Zoek naar een Verklaring.","Fokkema, T.A.; Dykstra, P.A.","2001"
"Positive Affectivity, Psychological Well-Being, Accident- and Traffic- Deaths, and Suicide: An International Comparison.","Kirkcaldy, B.; Furnham, A.","2000"
"The Relationship between Subjective Well-Being and Domain Satisfactions in South Africa.","Moller, V.; Saris, W.E.","2001"
"Een Bestaan zonder Baan.","Hoff, S.J.; Jehoel-Gijsbers, G.","1998"
"Age - Related Differences and Change in Positive and Negative Affect over 23 Years.","Charles, S.T.; Gatz, M.J.; Reynolds, C.A.","2001"
"Late Gevolgen van Neuromusculaire Aandoeningen.","IRV,","2000"
"Integrating Religious Resources Within a General Model of Stress and Coping : Long-Term Adjustment to Breast Cancer.","Gall, T.L.","2000"
"Partnerzufriedenheit, Familienzufriedenheit Lebensqualität .","Schulz, W.; Gluske, H.; Lentsch, A.","1996"
"Do(e)l Gelukkig, een Literatuur onderzoek naar de Relatie tussen Doelen en Geluk.","Maas, S.L.","2001"
"Why are Some People Happier Than Others?","Lyubomirsky, S.","2001"
"The Self-Concordance Model of Healthy Goal Striving: When Personal Goals Correctly Represent the Person.","Sheldon, K.M.","2001"
"Psychosocial Predictors of Life Quality: How are They Effected by Infertility, Gender and Parenthood?","Abbey, A.; Andrews, F.M.; Halman, L.J.","1994"
"Lifegoals and Well-Being. Towards a Positive Psychology of Human Striving.","Schmuck, P.; Sheldon, K.M.","2001"
"Does Television Viewership Play a Role in the Perception of Quality of Life.","Sirgy, M.J.; Kosenko, R.; Lee, D.J.; Meadow, H.L.","1998"
"Creating Happy People by Asking Yes-No Questions.","Houtkoop-Steenstra, H.; Antaki, C.","1997"
"Mindfulness and Subjective Well-Being in the Sustainability Movement: A Further Discrepancies Theory.","Jacob, J.C.; Brinkerhoff, M.B.","1999"
"The Relationship of Personality Dimension as Measured by the Temperament and Character Inventory and Quality Of Life in Individuals with Schizophrenia of Schizoaffective Disorder Living in the Community.","Hansson, L.; Bengtsson-Tops, A.; Eklund, M.","2001"
"Measuring Subjective Quality of Life in People with Serious Mental Illness Using the SEIQoL-DW.","Prince, P.N.; Gerber, G.J.","2001"
"Culture's Consequences. Comparing Values, Behaviors, Institutions and Organisations across Nations.","Hofstede, G.","2001"
"Preferences over Prosperity and Pollution: Environmental Valuation based on Happiness Surveys.","Welsch, H.","2002"
"Most American Workers Satisfied with Their Job.","Moore, D.W.","2001"
"Making the Best of Bad Situation: Satisfaction in de Slums of Calcutta","Biswas-Diener, R.; Diener, E.","2001"
"Nederland en de Anderen.","Uitterhoeve, W.","2000"
"Over Werken in de Postindustriële Samenleving.","DeBeer, P.T.","2001"
"Emotion over Time within a Religious Culture: A Lexical Analysis of the Old Testament.","Mayer, J.D.; Tibbetts, J.J.","1994"
"Parental Support and Psychological Adjustment During the Transition to Young Adulthood in a College Sample.","Holahan, C.J.; Moos, R.H.; Valentiner, D.P.","1994"
"Handling Incomplete Quality-of-Life Data.","Shen, S.M.; Lai, Y.L.","2001"
"Materialism and Its Relationship to Life Satisfaction.","Ryan, L.; Dziurawiec, S.","2001"
"Positive and Negative Life Changes Following Bereavement and Their Relations to Adjustment.","Lehman, D.R.; Davis, C.G.; Delongis, A.; Wortman, C.B.","1993"
"Psychological Well-Being and Marital Dissolution. Selection Effects?","Mastekaasa, A.","1994"
"A Comparison of Single and Married Working Parents' Agency and Desire for Money.","Mahler, S.R.","1994"
"Caregiving and Women's Well-Being: A Life Course Approach.","Moen, P.; Dempster-McClain, D.; Robison, J.","1995"
"Motherhood, Multiple Roles, and Maternal Well-Being: Women of the 1950 s.","Miller, M.L.; Dempster-McClain, D.; Moen, P.","1991"
"Quality of Affect as a Criterion.","Brenner, B.","1977"
"The Greenhouse. A Welfare Assessment and Some Morals.","Lumer, C.","2002"
"Money Dispositions Material Values and Price-Related Behaviour: An Integration.","Tatzel, M.","2001"
